"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 18 12:40:49 EDT 2025","Thu Sep 18 12:40:52 EDT 2025","3193","chromium","learnTypeScript.spec.ts","","","","Mapped Object Type:",""
"passed","Thu Sep 18 12:40:27 EDT 2025","Thu Sep 18 12:40:37 EDT 2025","9290","chromium","learnTypeScript.spec.ts","","","","use of enum type",""
"broken","Thu Sep 18 12:40:46 EDT 2025","Thu Sep 18 12:41:39 EDT 2025","52904","chromium","learnTypeScript.spec.ts","","","","Generic Constraints: Generic get Typesafe TestData",""
"passed","Thu Sep 18 12:40:45 EDT 2025","Thu Sep 18 12:40:49 EDT 2025","3572","chromium","learnTypeScript.spec.ts","","","","Learning Record Type",""
"passed","Thu Sep 18 12:40:46 EDT 2025","Thu Sep 18 12:40:46 EDT 2025","3","chromium","learnTypeScript.spec.ts","","","","Merge Objects",""
"passed","Thu Sep 18 12:40:52 EDT 2025","Thu Sep 18 12:40:55 EDT 2025","3172","chromium","learnTypeScript.spec.ts","","","","Type Literal Type",""
"passed","Thu Sep 18 12:40:22 EDT 2025","Thu Sep 18 12:40:27 EDT 2025","5011","chromium","learnTypeScript.spec.ts","","","","Working with Arrays",""
"passed","Thu Sep 18 16:36:22 EDT 2025","Thu Sep 18 16:36:26 EDT 2025","3861","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Sep 18 12:40:43 EDT 2025","Thu Sep 18 12:40:43 EDT 2025","1","chromium","learnTypeScript.spec.ts","","","","Outsource Type Guard Functionality to Reusable functions",""
"passed","Thu Sep 18 12:40:37 EDT 2025","Thu Sep 18 12:40:40 EDT 2025","3024","chromium","learnTypeScript.spec.ts","","","","Function with optional parameter and default value",""
"passed","Thu Sep 18 12:40:22 EDT 2025","Thu Sep 18 12:40:26 EDT 2025","3140","chromium","learnTypeScript.spec.ts","","","","Learning Typescript basics",""
"failed","Thu Sep 18 12:41:09 EDT 2025","Thu Sep 18 12:41:15 EDT 2025","6222","chromium","login.spec.ts","Login Tests with Admin auth","","","Admin can search for Thor Hammer",""
"passed","Thu Sep 18 16:35:46 EDT 2025","Thu Sep 18 16:35:59 EDT 2025","13017","setup","auth.setup.ts","","","","Create Admin Auth",""
"passed","Thu Sep 18 12:41:05 EDT 2025","Thu Sep 18 12:41:09 EDT 2025","4118","chromium","login.spec.ts","Login Tests with Admin auth","","","Admin user lands on main page",""
"broken","Thu Sep 18 12:40:49 EDT 2025","Thu Sep 18 12:41:41 EDT 2025","52887","chromium","learnTypeScript.spec.ts","","","","keyof operator: How to use keyof operator",""
